slug,location,latitude,longitude
arve_carouge_battistellak,arve_carouge_battistellak,46.1784912,6.1543187
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.77534,6.6309
lavey-la-source,Lavey la source,46.200804,7.021866
lavey-les-bains,Lavey les bains,46.2051587,7.012722
lavey-les-bains-2,lavey les bains-2,46.207726,7.011685
les-glariers,Les Glariers,46.176736,7.228925
les-vieux-ronquoz,Les Vieux Ronquoz,46.2220487,7.361664
leuk-mattenstrasse,leuk mattenstrasse,46.3147545,7.6225205
ognonnaz-1,Ognonnaz 1,46.4599413,6.8591341
pont-sous-terre,Pont sous-terre,46.2029598,6.13157672
tschilljus,Tschilljus,46.304399,7.580262
anarchy-beach,Anarchy Beach,46.447216,6.859612
arabie,Arabie,46.462099,6.834972
baby-plage-geneva,Baby Plage Geneva,46.208558,6.162923
baby-plage-ii-geneve,Baby-Plage II Genève,46.20894,6.16433
bain-des-dames,Bain des Dames,46.4505068,6.8580918
baye-de-clarens,Baye de Clarens,46.439787,6.888903
baye-de-montreux-d,Baye de Montreux D,46.430962,6.908673
baye-de-montreux-g,Baye de Montreux G,46.430834,6.908778
boiron,Boiron,46.4910297,6.4801618
cully-plage,Cully plage,46.4888866,6.7413961
grand-clos,Grand Clos,46.387746,6.843686
jardin-botanique,Jardin Botanique,46.2259088,6.1493572
la-morges,La Morges,46.504063,6.494099
la-pecherie,La Pêcherie,46.4639187,6.3857321
lacleman_gland_kubela,lacléman_gland_kubela,46.4028693,6.2819358
lacleman_gland_lecoanets,Lacléman_Gland_LecoanetS,46.4028106,6.2819586
lacleman_vidy_santie,lacléman_vidy_santie,46.5183178,6.5896078
le-pierrier,Le Pierrier,46.439727,6.888968
le-port,Le Port,46.452245,6.85518
maladaire,Maladaire,46.446296,6.87696
oyonne,Oyonne,46.456682,6.852262
parc-des-pierrettes,Parc des Pierrettes,46.515215,6.575531
pierrier-sud,Pierrier sud,46.4395601,6.8910001
plage-de-dorigny,Plage de Dorigny,46.518169,6.583319
plage-de-st-sulpice,Plage de St Sulpice,46.513265,6.570977
preverenges,Préverenges,46.51269,6.527657
preverenges-le-sout,preverenges-le sout,46.5089049,6.5345263
quai-maria-belgia,Quai Maria Belgia,46.460156,6.836718
rocky-plage,Rocky plage,46.20973675,6.16495237
rolle-plage,Rolle-plage,46.4613,6.349739
saint-sulpice,Saint Sulpice,46.507808,6.545344
tiger-duck-beach,Tiger duck beach,46.518256,6.582546
tolochenaz,Tolochenaz,46.4975095,6.4828747
versoix,Versoix,46.289194,6.1705693
veveyse,Veveyse,46.461022,6.834983
vidy,Vidy,46.5147155,6.5985884
vidy-ruines,Vidy ruines,46.516221,6.596279
villa-barton,Villa Barton,46.22235,6.1525
baby-plage,Baby Plage,46.20878333,6.16285
hermance,Hermance,46.30358333,6.240833333
port-choiseul,Port Choiseul,46.28966667,6.170716667
savoniere,Savonière,46.26413333,6.199733333
versoix-p,Versoix,46.27405,6.171316667
aubonne,Aubonne,46.46026667,6.39115
clarens,Clarens,46.43941667,6.889566667
crans,Crans,46.35538333,6.214033333
cully-p,Cully,46.48895,6.7414
gland,Gland,46.4188,6.290033333
grangettes,Grangettes,46.39621667,6.886716667
lutry,Lutry,46.49995,6.69245
pichette,Pichette,46.46991667,6.815783333
preverenges-p,Préverenges,46.51141667,6.529916667
rolle,Rolle,46.46133333,6.350633333
tolochenaz-p,Tolochenaz,46.4917,6.48075
vidy-p,Vidy,46.51121667,6.6109
bouveret,Bouveret,46.389,6.859816667
